project,type,status,spec_name,filename,line,PRs
Toilal-rebulk,project,PR Opened,PyDocs_MustSortBeforeGroupBy,rebulk/chain.py,188,https://github.com/Toilal/rebulk/pull/31
Toilal-rebulk,project,False Positive,PyDocs_MustSortBeforeGroupBy,rebulk/match.py,71,
Toilal-rebulk,project,False Positive,PyDocs_MustSortBeforeGroupBy,rebulk/match.py,53,
Toilal-rebulk,project,False Positive,PyDocs_MustSortBeforeGroupBy,rebulk/match.py,62,
pycontw-mail_handler,project,False Positive,Pydocs_NoReadAfterAccess,mail_handler/render_mail.py,112,
pycontw-mail_handler,project,False Positive,Pydocs_NoReadAfterAccess,mail_handler/render_mail.py,26,
pycontw-mail_handler,project,False Positive,Pydocs_NoReadAfterAccess,mail_handler/render_mail.py,105,
pycontw-mail_handler,project,False Positive,Pydocs_NoReadAfterAccess,mail_handler/render_mail.py,109,
pycontw-mail_handler,project,False Positive,Pydocs_NoReadAfterAccess,mail_handler/send_mail.py,148,
pycontw-mail_handler,project,False Positive,Pydocs_NoReadAfterAccess,tests/utils.py,46,
pycontw-mail_handler,project,False Positive,Pydocs_NoReadAfterAccess,tests/utils.py,41,
pycontw-mail_handler,project,False Positive,Pydocs_NoReadAfterAccess,mail_handler/send_mail.py,76,
pycontw-mail_handler,project,False Positive,Pydocs_NoReadAfterAccess,tests/utils.py,131,
dbcli-mycli,project,PR Accepted,Pydocs_NoReadAfterAccess,mycli/config.py,68,https://github.com/dbcli/mycli/pull/1203
kura-blackhole,project,PR Opened,Pydocs_NoReadAfterAccess,blackhole/config.py,266,https://github.com/kura/blackhole/pull/38
kura-blackhole,project,False Positive,Pydocs_NoReadAfterAccess,tests/_utils.py,52,
Astropilot-thumbhash-python,library,False Positive,Pydocs_NoReadAfterAccess,PIL/Image.py,3431,
cisagov-clamav-report,library,No Longer Maintan,Pydocs_NoReadAfterAccess,ansible/parsing/dataloader.py,176,
cisagov-clamav-report,library,No Longer Maintan,Pydocs_NoReadAfterAccess,ansible/plugins/inventory/script.py,188,
pmrowla-pylivemaker,library,False Positive,Pydocs_NoReadAfterAccess,livemaker/archive.py,607,
pmrowla-pylivemaker,library,False Positive,Pydocs_NoReadAfterAccess,livemaker/cli/lmlsb.py,60,
pmrowla-pylivemaker,library,False Positive,Pydocs_NoReadAfterAccess,livemaker/cli/lmlsb.py,118,
pmrowla-pylivemaker,library,False Positive,Pydocs_NoReadAfterAccess,livemaker/cli/lmlsb.py,1260,
dbcli-mycli,library,False Positive,Pydocs_NoReadAfterAccess,configobj/__init__.py,1231,
manthanmtg-live_differ,project,PR Opened,Pydocs_NoReadAfterAccess,live_differ/cli.py,26,https://github.com/manthanmtg/live_differ/pull/3
snstac-pytak,project,PR Opened,Pydocs_ShouldNotInstantiateStreamWriter,tests/test_classes.py,101,https://github.com/snstac/pytak/pull/86
alengwenus-pypck,project,Fixed in latest version,Pydocs_ShouldUseStreamWriterCorrectly,pypck/connection.py,282,
alengwenus-pypck,project,Fixed in latest version,Pydocs_ShouldUseStreamWriterCorrectly,pypck/connection.py,293,
kura-blackhole,project,PR Opened,Pydocs_ShouldUseStreamWriterCorrectly,blackhole/protocols.py,151,https://github.com/kura/blackhole/pull/39
ska-sa-aiokatcp,project,PR Rejected,Pydocs_ShouldUseStreamWriterCorrectly,tests/test_client.py,124,https://github.com/ska-sa/aiokatcp/pull/118
ska-sa-aiokatcp,project,PR Rejected,Pydocs_ShouldUseStreamWriterCorrectly,tests/test_client.py,391,https://github.com/ska-sa/aiokatcp/pull/118
ska-sa-aiokatcp,project,False Positive,Pydocs_ShouldUseStreamWriterCorrectly,tests/test_client.py,419,
ska-sa-aiokatcp,project,PR Rejected,Pydocs_ShouldUseStreamWriterCorrectly,tests/test_connection.py,204,https://github.com/ska-sa/aiokatcp/pull/118
ska-sa-aiokatcp,project,False Positive,Pydocs_ShouldUseStreamWriterCorrectly,tests/test_connection.py,213,
ska-sa-aiokatcp,project,False Positive,Pydocs_ShouldUseStreamWriterCorrectly,tests/test_connection.py,116,
ska-sa-aiokatcp,project,False Positive,Pydocs_ShouldUseStreamWriterCorrectly,tests/test_connection.py,256,
ska-sa-aiokatcp,project,False Positive,Pydocs_ShouldUseStreamWriterCorrectly,tests/test_server.py,196,
tiagocoutinho-modbus-proxy,library,False Positive,Pydocs_ShouldUseStreamWriterCorrectly,modbus_proxy.py,69,
ska-sa-aiokatcp,library,False Positive,Pydocs_ShouldUseStreamWriterCorrectly,aiokatcp/connection.py,188,
alengwenus-pypck,project,PR Accepted,Pydocs_ShouldUseStreamWriterCorrectly,tests/mock_pchk.py,131,https://github.com/alengwenus/pypck/pull/126
kura-blackhole,project,PR Opened,Pydocs_ShouldUseStreamWriterCorrectly,tests/test_classes.py,151,https://github.com/kura/blackhole/pull/37
EDCD-EDMarketConnector,project,No Longer Existed,RandomMustUseSeed,tests/config/test_config.py,49,
EDCD-EDMarketConnector,project,No Longer Existed,RandomMustUseSeed,tests/config/test_config.py,40,
EDCD-EDMarketConnector,project,No Longer Existed,RandomMustUseSeed,tests/config/test_config.py,42,
EDCD-EDMarketConnector,project,No Longer Existed,RandomMustUseSeed,tests/config/test_config.py,34,
FrankD412-pyaestro,project,PR Accepted,RandomMustUseSeed,tests/structures/graphs/test_adjacency.py,95,https://github.com/FrankD412/pyaestro/pull/23
FrankD412-pyaestro,project,PR Accepted,RandomMustUseSeed,tests/structures/graphs/test_adjacency.py,169,https://github.com/FrankD412/pyaestro/pull/23
FrankD412-pyaestro,project,PR Accepted,RandomMustUseSeed,tests/structures/graphs/conftest.py,64,https://github.com/FrankD412/pyaestro/pull/23
FrankD412-pyaestro,project,PR Accepted,RandomMustUseSeed,tests/structures/graphs/conftest.py,69,https://github.com/FrankD412/pyaestro/pull/23
FrankD412-pyaestro,project,PR Accepted,RandomMustUseSeed,tests/structures/graphs/test_adjacency.py,222,https://github.com/FrankD412/pyaestro/pull/23
FrankD412-pyaestro,project,PR Accepted,RandomMustUseSeed,tests/structures/graphs/test_adjacency.py,226,https://github.com/FrankD412/pyaestro/pull/23
FrankD412-pyaestro,project,PR Accepted,RandomMustUseSeed,tests/structures/graphs/test_adjacency.py,357,https://github.com/FrankD412/pyaestro/pull/23
FrankD412-pyaestro,project,PR Accepted,RandomMustUseSeed,tests/structures/graphs/test_adjacency.py,361,https://github.com/FrankD412/pyaestro/pull/23
FrankD412-pyaestro,project,PR Accepted,RandomMustUseSeed,tests/structures/graphs/conftest.py,123,https://github.com/FrankD412/pyaestro/pull/23
